agent_id,t_step,key,value
env,0,pubs,"{'The awesome pub #2': {'occupancy': 0, 'entry': 0, 'name': 'The awesome pub #2', 'type': 'pub', 'opening_time': 1, 'open': False, 'closing_time': 21, 'capacity': 143.97279099510467, 'price': 8}, 'The awesome disco #0': {'occupancy': 0, 'entry': 17, 'name': 'The awesome disco #0', 'type': 'disco', 'opening_time': 10, 'open': False, 'closing_time': 36, 'capacity': 1528.4486913835608, 'price': 7}, 'The awesome pub #0': {'occupancy': 0, 'entry': 0, 'name': 'The awesome pub #0', 'type': 'pub', 'opening_time': 1, 'open': False, 'closing_time': 21, 'capacity': 110.69886075165661, 'price': 7}, 'The awesome street #0': {'occupancy': 0, 'entry': 0, 'name': 'The awesome street #0', 'type': 'street', 'opening_time': 1, 'open': False, 'closing_time': 39, 'capacity': 10000, 'price': 3}, 'The awesome pub #1': {'occupancy': 0, 'entry': 0, 'name': 'The awesome pub #1', 'type': 'pub', 'opening_time': 1, 'open': False, 'closing_time': 22, 'capacity': 107.79742027358299, 'price': 8}, 'The awesome street #1': {'occupancy': 0, 'entry': 0, 'name': 'The awesome street #1', 'type': 'street', 'opening_time': 1, 'open': False, 'closing_time': 39, 'capacity': 10000, 'price': 3}, 'The awesome disco #1': {'occupancy': 0, 'entry': 17, 'name': 'The awesome disco #1', 'type': 'disco', 'opening_time': 10, 'open': False, 'closing_time': 33, 'capacity': 1468.8192547359772, 'price': 12}}"
env,0,SEED,NoneMalasana_morris_2_trial_0
Police,0,id,patrol
0,0,group_size,0
0,0,pints,0
0,0,in_a_fight,False
0,0,num_of_fights,0
0,0,drunk,False
0,0,intoxicated,False
0,0,gender,male
0,0,prob_drink,0.6
0,0,pub,
0,0,in_a_group,False
0,0,going_out_time,10
0,0,is_leader,False
0,0,num_of_changes,0
0,0,age,15
0,0,prob_fight,0
0,0,prob_change_bar,0.1
1,0,group_size,0
1,0,pints,0
1,0,in_a_fight,False
1,0,num_of_fights,0
1,0,drunk,False
1,0,intoxicated,False
1,0,gender,male
1,0,prob_drink,0.6
1,0,pub,
1,0,in_a_group,False
1,0,going_out_time,10
1,0,is_leader,False
1,0,num_of_changes,0
1,0,age,15
1,0,prob_fight,0
1,0,prob_change_bar,0.1
2,0,group_size,0
2,0,pints,0
2,0,in_a_fight,False
2,0,num_of_fights,0
2,0,drunk,False
2,0,intoxicated,False
2,0,gender,male
2,0,prob_drink,0.6
2,0,pub,
2,0,in_a_group,False
2,0,going_out_time,10
2,0,is_leader,False
2,0,num_of_changes,0
2,0,age,15
2,0,prob_fight,0
2,0,prob_change_bar,0.1
3,0,group_size,0
3,0,pints,0
3,0,in_a_fight,False
3,0,num_of_fights,0
3,0,drunk,False
3,0,intoxicated,False
3,0,gender,male
3,0,prob_drink,0.6
3,0,pub,
3,0,in_a_group,False
3,0,going_out_time,10
3,0,is_leader,False
3,0,num_of_changes,0
3,0,age,20
3,0,prob_fight,0
3,0,prob_change_bar,0.1
4,0,group_size,0
4,0,pints,0
4,0,in_a_fight,False
4,0,num_of_fights,0
4,0,drunk,False
4,0,intoxicated,False
4,0,gender,male
4,0,prob_drink,0.6
4,0,pub,
4,0,in_a_group,False
4,0,going_out_time,10
4,0,is_leader,False
4,0,num_of_changes,0
4,0,age,15
4,0,prob_fight,0
4,0,prob_change_bar,0.1
5,0,group_size,0
5,0,pints,0
5,0,in_a_fight,False
5,0,num_of_fights,0
5,0,drunk,False
5,0,intoxicated,False
