agent_id,t_step,key,value
env,0,SEED,NoneSin_politicas_trial_0
env,0,pubs,"{'The awesome pub #2': {'open': False, 'closing_time': 21, 'occupancy': 0, 'name': 'The awesome pub #2', 'price': 6, 'capacity': 96.9123193934788, 'type': 'pub', 'entry': 0, 'opening_time': 1}, 'The awesome pub #3': {'open': False, 'closing_time': 24, 'occupancy': 0, 'name': 'The awesome pub #3', 'price': 8, 'capacity': 103.98202718910231, 'type': 'pub', 'entry': 0, 'opening_time': 1}, 'The awesome disco #0': {'open': False, 'closing_time': 32, 'occupancy': 0, 'name': 'The awesome disco #0', 'price': 9, 'capacity': 1434.1165615339837, 'type': 'disco', 'entry': 17, 'opening_time': 10}, 'The awesome pub #0': {'open': False, 'closing_time': 22, 'occupancy': 0, 'name': 'The awesome pub #0', 'price': 8, 'capacity': 74.76217819034677, 'type': 'pub', 'entry': 0, 'opening_time': 1}, 'The awesome pub #4': {'open': False, 'closing_time': 20, 'occupancy': 0, 'name': 'The awesome pub #4', 'price': 7, 'capacity': 58.41103957945972, 'type': 'pub', 'entry': 0, 'opening_time': 1}, 'The awesome street #0': {'open': False, 'closing_time': 39, 'occupancy': 0, 'name': 'The awesome street #0', 'price': 4, 'capacity': 10000, 'type': 'street', 'entry': 0, 'opening_time': 1}, 'The awesome pub #1': {'open': False, 'closing_time': 20, 'occupancy': 0, 'name': 'The awesome pub #1', 'price': 5, 'capacity': 60.214698378056774, 'type': 'pub', 'entry': 0, 'opening_time': 1}, 'The awesome disco #1': {'open': False, 'closing_time': 36, 'occupancy': 0, 'name': 'The awesome disco #1', 'price': 8, 'capacity': 881.8692792095696, 'type': 'disco', 'entry': 16, 'opening_time': 10}, 'The awesome street #1': {'open': False, 'closing_time': 39, 'occupancy': 0, 'name': 'The awesome street #1', 'price': 5, 'capacity': 10000, 'type': 'street', 'entry': 0, 'opening_time': 1}}"
Police,0,id,patrol
0,0,in_a_fight,False
0,0,intoxicated,False
0,0,prob_change_bar,0.2
0,0,pints,0
0,0,in_a_group,False
0,0,gender,male
0,0,group_size,0
0,0,num_of_changes,0
0,0,age,15
0,0,pub,
0,0,is_leader,False
0,0,going_out_time,10
0,0,drunk,False
0,0,prob_drink,0.6
0,0,prob_fight,0
0,0,num_of_fights,0
1,0,in_a_fight,False
1,0,intoxicated,False
1,0,prob_change_bar,0.2
1,0,pints,0
1,0,in_a_group,False
1,0,gender,male
1,0,group_size,0
1,0,num_of_changes,0
1,0,age,15
1,0,pub,
1,0,is_leader,False
1,0,going_out_time,10
1,0,drunk,False
1,0,prob_drink,0.6
1,0,prob_fight,0
1,0,num_of_fights,0
2,0,in_a_fight,False
2,0,intoxicated,False
2,0,prob_change_bar,0.2
2,0,pints,0
2,0,in_a_group,False
2,0,gender,male
2,0,group_size,0
2,0,num_of_changes,0
2,0,age,25
2,0,pub,
2,0,is_leader,False
2,0,going_out_time,10
2,0,drunk,False
2,0,prob_drink,0.5
2,0,prob_fight,0
2,0,num_of_fights,0
3,0,in_a_fight,False
3,0,intoxicated,False
3,0,prob_change_bar,0.2
3,0,pints,0
3,0,in_a_group,False
3,0,gender,male
3,0,group_size,0
3,0,num_of_changes,0
3,0,age,15
3,0,pub,
3,0,is_leader,False
3,0,going_out_time,10
3,0,drunk,False
3,0,prob_drink,0.6
3,0,prob_fight,0
3,0,num_of_fights,0
4,0,in_a_fight,False
4,0,intoxicated,False
4,0,prob_change_bar,0.2
4,0,pints,0
4,0,in_a_group,False
4,0,gender,male
4,0,group_size,0
4,0,num_of_changes,0
4,0,age,20
4,0,pub,
